Date : 2022-03-25 23:35:24
Directory : d:\Coding\Projects\bettercharts
Total : 137 files,  129523 codes, 24174 comments, 25953 blanks, all 179650 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         14 |    101,282 |     24,101 |     22,143 |    147,526 |
| Log                |          2 |     20,641 |          0 |      3,116 |     23,757 |
| TypeScript React   |         64 |      4,735 |         35 |        426 |      5,196 |
| TypeScript         |         29 |      1,807 |         19 |        145 |      1,971 |
| CSS                |          2 |        497 |          3 |         60 |        560 |
| JSON               |         13 |        317 |         16 |         11 |        344 |
| Markdown           |          5 |         59 |          0 |         42 |        101 |
| JSON with Comments |          3 |         59 |          0 |          3 |         62 |
| XML                |          2 |         56 |          0 |          2 |         58 |
| HTML               |          2 |         46 |          0 |          1 |         47 |
| Prisma             |          1 |         24 |          0 |          4 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        137 |    129,523 |     24,174 |     25,953 |    179,650 |
| .yarn                                                                                               |          1 |    100,928 |     24,100 |     22,127 |    147,155 |
| .yarn\releases                                                                                      |          1 |    100,928 |     24,100 |     22,127 |    147,155 |
| apps                                                                                                |        126 |     28,446 |         58 |      3,796 |     32,300 |
| apps\api                                                                                            |         26 |     10,973 |          2 |      1,647 |     12,622 |
| apps\api\dist                                                                                       |          7 |        212 |          0 |          7 |        219 |
| apps\api\dist\src                                                                                   |          7 |        212 |          0 |          7 |        219 |
| apps\api\dist\src\lib                                                                               |          5 |        108 |          0 |          5 |        113 |
| apps\api\dist\src\types                                                                             |          1 |          2 |          0 |          1 |          3 |
| apps\api\prisma                                                                                     |          1 |         24 |          0 |          4 |         28 |
| apps\api\src                                                                                        |         12 |        347 |          2 |         73 |        422 |
| apps\api\src\lib                                                                                    |         10 |        204 |          2 |         47 |        253 |
| apps\api\src\types                                                                                  |          1 |         27 |          0 |          3 |         30 |
| apps\brand                                                                                          |         15 |        670 |          1 |         44 |        715 |
| apps\brand\public                                                                                   |          2 |         49 |          0 |          2 |         51 |
| apps\brand\src                                                                                      |          9 |        517 |          1 |         30 |        548 |
| apps\brand\src\components                                                                           |          5 |        457 |          0 |         18 |        475 |
| apps\web                                                                                            |         85 |     16,803 |         55 |      2,105 |     18,963 |
| apps\web\components                                                                                 |          9 |        729 |          1 |         53 |        783 |
| apps\web\components\transition                                                                      |          1 |         48 |          1 |          4 |         53 |
| apps\web\context                                                                                    |          5 |         55 |          0 |         20 |         75 |
| apps\web\hooks                                                                                      |          2 |         74 |          0 |         11 |         85 |
| apps\web\lib                                                                                        |          3 |      1,293 |          9 |         26 |      1,328 |
| apps\web\pages                                                                                      |         17 |      1,064 |          4 |        125 |      1,193 |
